chargeback_id,transaction_id,reason_code,amount,true_label,noise_case,noise_type
CB_00000788,TXN_00000788,product_not_as_described,178.32,DEFENSIBLE,True,legitimate_despite_complaint
CB_00000640,TXN_00000640,duplicate_charge,2199.71,DEFENSIBLE,False,
CB_00000889,TXN_00000889,product_not_as_described,2116.04,DEFENSIBLE,False,
CB_00000550,TXN_00000550,unauthorized_transaction,85.36,DEFENSIBLE,True,legitimate_despite_complaint
CB_00000886,TXN_00000886,cancelled_subscription,381.41,NOT_DEFENSIBLE,False,
CB_00000488,TXN_00000488,fraudulent_transaction,23384.85,DEFENSIBLE,False,
CB_00000147,TXN_00000147,product_not_received,2384.82,DEFENSIBLE,False,
CB_00000146,TXN_00000146,fraudulent_transaction,4660.51,NOT_DEFENSIBLE,False,
CB_00000720,TXN_00000720,unauthorized_transaction,711.48,DEFENSIBLE,False,
CB_00000931,TXN_00000931,product_not_received,637.37,DEFENSIBLE,False,
CB_00000739,TXN_00000739,fraudulent_transaction,14975.54,DEFENSIBLE,False,
CB_00000659,TXN_00000659,fraudulent_transaction,1399.62,NOT_DEFENSIBLE,False,
CB_00000348,TXN_00000348,fraudulent_transaction,1896.11,DEFENSIBLE,False,
CB_00000463,TXN_00000463,cancelled_subscription,2370.15,NOT_DEFENSIBLE,False,
CB_00000325,TXN_00000325,fraudulent_transaction,872.8,DEFENSIBLE,False,
CB_00000186,TXN_00000186,fraudulent_transaction,2778.97,DEFENSIBLE,True,legitimate_despite_complaint
CB_00000123,TXN_00000123,duplicate_charge,19.85,NOT_DEFENSIBLE,False,
CB_00000853,TXN_00000853,product_not_received,1336.47,NOT_DEFENSIBLE,False,
CB_00000608,TXN_00000608,product_not_as_described,3058.73,DEFENSIBLE,False,
CB_00000143,TXN_00000143,product_defective,2242.21,NOT_DEFENSIBLE,True,friendly_fraud
CB_00000958,TXN_00000958,cancelled_subscription,623.82,NOT_DEFENSIBLE,False,
CB_00000197,TXN_00000197,duplicate_charge,184.83,DEFENSIBLE,False,
CB_00000609,TXN_00000609,unauthorized_transaction,492.32,NOT_DEFENSIBLE,False,
CB_00000279,TXN_00000279,fraudulent_transaction,2907.36,DEFENSIBLE,False,
CB_00000293,TXN_00000293,cancelled_subscription,6846.07,DEFENSIBLE,False,
CB_00000400,TXN_00000400,unauthorized_transaction,2389.17,DEFENSIBLE,False,
CB_00000122,TXN_00000122,product_not_as_described,5372.14,NOT_DEFENSIBLE,False,
CB_00000183,TXN_00000183,product_not_as_described,426.08,NOT_DEFENSIBLE,False,
CB_00000202,TXN_00000202,product_not_as_described,1488.98,DEFENSIBLE,False,
CB_00000438,TXN_00000438,cancelled_subscription,4295.27,NOT_DEFENSIBLE,False,
CB_00000246,TXN_00000246,fraudulent_transaction,339.21,DEFENSIBLE,False,
CB_00000415,TXN_00000415,cancelled_subscription,2569.88,DEFENSIBLE,False,
CB_00000932,TXN_00000932,product_not_as_described,1338.24,DEFENSIBLE,False,
CB_00000765,TXN_00000765,unauthorized_transaction,6678.65,DEFENSIBLE,False,
CB_00000906,TXN_00000906,item_significantly_not_as_described,3311.27,NOT_DEFENSIBLE,True,friendly_fraud
CB_00000835,TXN_00000835,product_not_received,452.83,DEFENSIBLE,False,
CB_00000887,TXN_00000887,product_not_received,746.08,NOT_DEFENSIBLE,False,
CB_00000129,TXN_00000129,product_not_received,7084.84,DEFENSIBLE,False,
CB_00000637,TXN_00000637,unauthorized_transaction,882.1,NOT_DEFENSIBLE,False,
CB_00000402,TXN_00000402,cancelled_subscription,175.54,NOT_DEFENSIBLE,False,
CB_00000784,TXN_00000784,fraudulent_transaction,824.55,NOT_DEFENSIBLE,False,
CB_00000770,TXN_00000770,product_not_received,478.35,DEFENSIBLE,False,
CB_00000735,TXN_00000735,product_not_received,27226.79,DEFENSIBLE,False,
CB_00000913,TXN_00000913,duplicate_charge,2283.98,NOT_DEFENSIBLE,False,
CB_00000219,TXN_00000219,duplicate_charge,2061.51,NOT_DEFENSIBLE,False,
CB_00000641,TXN_00000641,cancelled_subscription,4274.47,NOT_DEFENSIBLE,False,
CB_00000915,TXN_00000915,product_not_as_described,912.49,NOT_DEFENSIBLE,False,
CB_00000752,TXN_00000752,unauthorized_transaction,258.49,NOT_DEFENSIBLE,False,
CB_00000806,TXN_00000806,fraudulent_transaction,6557.91,DEFENSIBLE,False,
CB_00000919,TXN_00000919,unauthorized_transaction,70990.43,NOT_DEFENSIBLE,False,
CB_00000624,TXN_00000624,fraudulent_transaction,1042.61,DEFENSIBLE,False,
CB_00000874,TXN_00000874,duplicate_charge,4948.66,DEFENSIBLE,False,
CB_00000760,TXN_00000760,duplicate_charge,289.12,DEFENSIBLE,False,
CB_00000386,TXN_00000386,cancelled_subscription,5828.46,DEFENSIBLE,False,
CB_00000972,TXN_00000972,product_not_received,1447.57,DEFENSIBLE,False,
CB_00000509,TXN_00000509,cancelled_subscription,1965.53,NOT_DEFENSIBLE,False,
CB_00000267,TXN_00000267,unauthorized_transaction,85.48,NOT_DEFENSIBLE,False,
CB_00000819,TXN_00000819,duplicate_charge,3464.33,NOT_DEFENSIBLE,False,
CB_00000441,TXN_00000441,fraudulent_transaction,3171.78,DEFENSIBLE,False,
CB_00000496,TXN_00000496,product_not_as_described,2306.21,NOT_DEFENSIBLE,False,
CB_00000112,TXN_00000112,product_not_received,384.37,NOT_DEFENSIBLE,False,
CB_00000691,TXN_00000691,unauthorized_transaction,2311.06,DEFENSIBLE,False,
CB_00000232,TXN_00000232,product_not_as_described,1057.28,DEFENSIBLE,False,
CB_00000869,TXN_00000869,cancelled_subscription,1761.46,DEFENSIBLE,False,
CB_00000607,TXN_00000607,product_not_as_described,320.43,DEFENSIBLE,False,
