customer_id,account_age_days,prior_orders,prior_chargebacks,prior_refunds
CUST_000009,350,14,0,1
CUST_000010,188,8,1,1
CUST_000014,68,5,0,0
CUST_000015,314,13,0,3
CUST_000019,237,7,0,0
CUST_000020,915,31,0,2
CUST_000025,224,8,0,0
CUST_000026,127,8,0,0
CUST_000030,38,2,1,0
CUST_000032,353,11,2,0
CUST_000038,1823,50,0,0
CUST_000045,55,4,0,1
CUST_000048,1539,50,3,3
CUST_000049,312,12,0,1
CUST_000053,840,31,0,0
CUST_000060,588,21,1,1
CUST_000062,1411,50,0,3
CUST_000064,1442,48,1,1
CUST_000066,338,14,1,0
CUST_000068,29,1,0,0
CUST_000069,284,10,0,0
CUST_000072,1168,40,0,0
CUST_000075,21,2,0,0
CUST_000077,325,13,0,0
CUST_000079,30,1,0,3
CUST_000080,439,16,0,2
CUST_000084,693,25,0,2
CUST_000086,1237,43,0,1
CUST_000088,152,7,0,0
CUST_000092,14,4,0,0
CUST_000095,1684,50,0,0
CUST_000096,1347,47,0,0
CUST_000097,58,5,2,1
CUST_000098,65,3,0,0
CUST_000099,152,5,0,0
CUST_000101,89,2,0,1
CUST_000102,954,34,1,0
CUST_000105,1178,41,0,2
CUST_000107,91,5,0,2
CUST_000114,26,2,1,0
CUST_000118,32,5,0,1
CUST_000125,162,8,0,0
CUST_000127,196,6,3,2
CUST_000137,699,23,3,1
CUST_000139,359,14,0,2
CUST_000141,35,1,0,1
CUST_000145,270,11,0,1
CUST_000146,15,2,0,3
CUST_000147,161,10,2,1
CUST_000148,57,2,0,0
CUST_000150,558,20,0,1
CUST_000154,144,6,0,1
CUST_000158,48,3,1,0
CUST_000159,464,16,3,0
CUST_000160,75,5,0,1
CUST_000163,7,0,1,1
CUST_000165,43,1,0,2
CUST_000166,250,10,0,0
CUST_000167,274,12,0,0
CUST_000173,154,7,0,1
CUST_000175,206,8,0,1
CUST_000176,110,4,3,1
CUST_000177,688,23,0,0
CUST_000179,83,3,0,1
CUST_000180,77,6,0,3
CUST_000181,1665,50,0,0
CUST_000183,235,9,1,2
CUST_000192,22,1,1,1
CUST_000200,1467,50,0,0
CUST_000201,249,9,0,1
CUST_000203,89,3,0,0
CUST_000205,56,3,1,1
CUST_000210,218,9,2,0
CUST_000211,336,12,2,0
CUST_000215,227,11,0,0
CUST_000217,524,19,0,2
CUST_000218,242,11,0,0
CUST_000219,1252,44,0,1
CUST_000220,666,24,0,3
CUST_000221,28,2,0,2
CUST_000225,598,19,1,0
CUST_000227,113,5,0,1
CUST_000234,163,5,0,1
CUST_000238,196,8,1,0
CUST_000244,57,2,0,3
CUST_000245,138,8,0,1
CUST_000246,422,16,0,0
CUST_000248,18,4,2,1
CUST_000249,357,15,0,0
CUST_000254,36,2,0,0
CUST_000256,155,5,0,2
CUST_000257,7,2,0,0
CUST_000258,206,11,2,1
CUST_000259,180,9,3,0
CUST_000261,9,4,2,0
CUST_000263,20,2,2,2
CUST_000265,56,3,0,2
CUST_000267,538,21,0,1
CUST_000268,117,7,0,1
CUST_000269,303,10,0,0
CUST_000270,182,8,0,1
CUST_000274,216,10,0,0
CUST_000277,1019,37,0,0
CUST_000278,1135,37,2,0
CUST_000281,211,12,0,0
CUST_000282,207,7,0,0
CUST_000286,10,3,0,0
CUST_000295,292,14,0,3
CUST_000298,215,9,3,0
CUST_000299,1158,39,1,2
CUST_000301,164,8,0,2
CUST_000302,739,25,0,1
CUST_000303,872,30,0,0
CUST_000308,363,15,3,0
CUST_000309,228,9,1,2
CUST_000310,172,7,0,1
CUST_000314,102,5,2,1
CUST_000316,904,32,0,0
CUST_000317,60,3,0,0
CUST_000318,227,9,0,0
CUST_000321,297,14,0,0
CUST_000322,65,3,0,1
CUST_000327,313,10,0,2
CUST_000331,88,9,0,1
CUST_000332,71,5,0,0
CUST_000339,243,12,0,0
CUST_000343,63,3,0,0
CUST_000346,37,4,0,1
CUST_000348,72,3,0,2
CUST_000349,1806,50,0,3
CUST_000352,257,10,3,1
CUST_000353,1255,44,1,1
CUST_000355,18,4,0,0
CUST_000356,108,3,0,2
CUST_000357,173,6,1,0
CUST_000361,1033,34,0,1
CUST_000362,173,8,0,1
CUST_000364,1703,50,1,1
CUST_000368,29,1,0,0
CUST_000369,292,10,0,0
CUST_000370,1003,35,0,1
CUST_000372,145,6,0,0
CUST_000374,67,5,0,0
CUST_000377,931,32,0,2
CUST_000383,45,5,1,2
CUST_000384,73,5,0,0
CUST_000389,57,5,0,0
CUST_000393,137,6,0,1
CUST_000395,304,14,0,1
CUST_000398,73,5,0,2
CUST_000408,222,9,0,1
CUST_000410,571,23,0,1
CUST_000413,1569,50,0,0
CUST_000414,1611,50,0,0
CUST_000415,1452,50,0,0
CUST_000418,227,8,3,0
CUST_000423,757,25,0,0
CUST_000426,166,10,0,2
CUST_000427,311,13,0,0
CUST_000428,295,9,0,2
CUST_000430,102,3,0,0
CUST_000431,42,7,1,1
CUST_000433,507,18,0,1
CUST_000434,58,1,0,0
CUST_000439,1606,50,0,0
CUST_000445,247,10,0,0
CUST_000446,339,12,0,1
CUST_000450,66,3,0,2
CUST_000454,793,27,1,2
CUST_000459,19,1,0,0
CUST_000462,63,5,0,0
CUST_000463,62,5,0,0
CUST_000467,615,21,0,0
CUST_000470,1258,43,0,1
CUST_000471,24,2,0,0
CUST_000475,364,14,0,0
CUST_000476,42,4,0,3
CUST_000478,237,7,0,1
CUST_000480,13,3,4,1
CUST_000481,227,10,0,0
CUST_000484,49,4,0,0
CUST_000485,185,9,0,1
CUST_000486,832,27,4,0
CUST_000488,424,18,0,2
CUST_000490,1516,50,4,1
CUST_000493,1789,50,0,1
CUST_000495,655,24,4,0
CUST_000497,892,32,0,1
CUST_000501,1288,46,0,0
CUST_000503,631,26,1,2
CUST_000504,745,26,1,0
CUST_000507,986,34,0,1
CUST_000511,84,3,0,1
CUST_000512,128,6,0,1
CUST_000513,18,1,2,3
CUST_000516,206,6,0,0
CUST_000517,13,1,1,2
CUST_000518,285,9,0,2
CUST_000519,114,6,0,1
CUST_000521,9,5,0,0
CUST_000524,260,9,0,1
CUST_000525,181,9,0,3
CUST_000526,73,3,0,1
CUST_000531,578,22,0,0
CUST_000534,110,3,0,0
CUST_000535,23,1,2,0
CUST_000536,1198,40,0,1
CUST_000537,41,1,2,1
CUST_000540,36,3,0,1
CUST_000541,15,2,0,2
CUST_000545,75,3,0,3
CUST_000547,748,28,3,0
CUST_000548,89,3,0,0
CUST_000549,537,19,0,2
CUST_000550,215,8,0,2
CUST_000552,268,9,1,1
CUST_000553,1423,48,1,0
CUST_000554,77,4,1,1
CUST_000555,1820,50,1,1
CUST_000559,281,9,0,0
CUST_000561,49,3,0,3
CUST_000565,61,2,0,0
CUST_000567,285,12,4,2
CUST_000570,188,9,0,3
CUST_000576,28,2,0,3
CUST_000578,1518,50,4,0
CUST_000579,243,11,1,1
CUST_000583,163,6,0,0
CUST_000587,10,2,2,0
CUST_000588,306,13,2,1
CUST_000594,343,12,0,1
CUST_000595,189,8,2,0
CUST_000596,269,9,0,1
CUST_000598,59,3,1,1
CUST_000599,208,7,0,2
