order_id,shipped_at,delivered_at,delivery_confirmed,signature_captured
ORD_00000001,2026-04-19 02:13:35,2026-04-22 02:13:35,True,True
ORD_00000004,2026-05-27 02:13:35,,False,False
ORD_00000013,2026-06-24 02:13:35,2026-07-04 02:13:35,True,True
ORD_00000014,2026-03-28 02:13:35,2026-04-01 02:13:35,True,True
ORD_00000020,2026-06-01 02:13:35,2026-06-05 02:13:35,True,True
ORD_00000021,2026-05-14 02:13:35,2026-05-17 02:13:35,True,False
ORD_00000027,2026-04-20 02:13:35,,False,False
ORD_00000032,2026-05-30 02:13:35,2026-06-04 02:13:35,True,True
ORD_00000034,2026-03-31 02:13:35,2026-04-11 02:13:35,True,True
ORD_00000035,2026-05-20 02:13:35,2026-05-24 02:13:35,True,True
ORD_00000040,2026-04-06 02:13:35,2026-04-11 02:13:35,True,True
ORD_00000047,2026-07-04 02:13:35,2026-07-07 02:13:35,True,False
ORD_00000052,2026-05-08 02:13:35,2026-05-10 02:13:35,True,False
ORD_00000058,2026-06-26 02:13:35,2026-06-30 02:13:35,True,True
ORD_00000062,2026-06-09 02:13:35,2026-06-12 02:13:35,True,True
ORD_00000064,2026-04-09 02:13:35,2026-04-14 02:13:35,True,True
ORD_00000071,,,False,False
ORD_00000080,2026-06-23 02:13:35,2026-06-26 02:13:35,True,False
ORD_00000085,,,False,False
ORD_00000087,2026-06-08 02:13:35,2026-06-22 02:13:35,True,False
ORD_00000091,2026-03-19 02:13:35,,False,False
ORD_00000095,2026-04-30 02:13:35,,False,False
ORD_00000098,2026-06-06 02:13:35,,False,False
ORD_00000099,2026-07-22 02:13:35,,False,False
ORD_00000102,2026-07-08 02:13:35,2026-07-13 02:13:35,True,True
ORD_00000105,2026-03-31 02:13:35,2026-04-02 02:13:35,True,True
ORD_00000106,2026-05-08 02:13:35,2026-05-12 02:13:35,True,True
ORD_00000112,2026-07-11 02:13:35,,False,False
ORD_00000121,2026-03-29 02:13:35,,False,False
ORD_00000122,,,False,False
ORD_00000123,,,False,False
ORD_00000128,2026-04-04 02:13:35,,False,False
ORD_00000129,2026-06-05 02:13:35,2026-06-09 02:13:35,True,True
ORD_00000130,,,False,False
ORD_00000134,2026-07-05 02:13:35,2026-07-11 02:13:35,True,True
ORD_00000138,2026-06-15 02:13:35,,False,False
ORD_00000143,2026-05-27 02:13:35,2026-06-02 02:13:35,True,True
ORD_00000146,2026-04-17 02:13:35,,False,False
ORD_00000147,2026-03-23 02:13:35,2026-03-25 02:13:35,True,False
ORD_00000156,,,False,False
ORD_00000159,2026-07-15 02:13:35,2026-07-29 02:13:35,True,True
ORD_00000160,,,False,False
ORD_00000161,2026-03-22 02:13:35,,False,False
ORD_00000166,2026-05-16 02:13:35,,False,False
