order_id,transaction_id,status,product_category
ORD_00000001,TXN_00000001,completed,clothing
ORD_00000004,TXN_00000004,shipped,software
ORD_00000013,TXN_00000013,completed,books
ORD_00000014,TXN_00000014,completed,clothing
ORD_00000020,TXN_00000020,completed,software
ORD_00000021,TXN_00000021,completed,subscription
ORD_00000027,TXN_00000027,cancelled,clothing
ORD_00000032,TXN_00000032,completed,home_goods
ORD_00000034,TXN_00000034,completed,books
ORD_00000035,TXN_00000035,completed,home_goods
ORD_00000040,TXN_00000040,completed,electronics
ORD_00000047,TXN_00000047,completed,clothing
ORD_00000052,TXN_00000052,completed,food_delivery
ORD_00000058,TXN_00000058,completed,electronics
ORD_00000062,TXN_00000062,completed,clothing
ORD_00000064,TXN_00000064,completed,gaming
ORD_00000071,TXN_00000071,cancelled,clothing
ORD_00000080,TXN_00000080,completed,home_goods
ORD_00000085,TXN_00000085,processing,home_goods
ORD_00000087,TXN_00000087,completed,software
ORD_00000091,TXN_00000091,refunded,clothing
ORD_00000095,TXN_00000095,completed,software
ORD_00000098,TXN_00000098,processing,gaming
ORD_00000099,TXN_00000099,shipped,home_goods
ORD_00000102,TXN_00000102,completed,clothing
ORD_00000105,TXN_00000105,completed,books
ORD_00000106,TXN_00000106,completed,home_goods
ORD_00000112,TXN_00000112,completed,subscription
ORD_00000121,TXN_00000121,refunded,books
ORD_00000122,TXN_00000122,processing,gaming
ORD_00000123,TXN_00000123,processing,subscription
ORD_00000128,TXN_00000128,shipped,books
ORD_00000129,TXN_00000129,completed,food_delivery
ORD_00000130,TXN_00000130,processing,clothing
ORD_00000134,TXN_00000134,completed,subscription
ORD_00000138,TXN_00000138,processing,software
ORD_00000143,TXN_00000143,completed,food_delivery
ORD_00000146,TXN_00000146,processing,food_delivery
ORD_00000147,TXN_00000147,completed,software
ORD_00000156,TXN_00000156,cancelled,clothing
ORD_00000159,TXN_00000159,completed,clothing
ORD_00000160,TXN_00000160,cancelled,books
ORD_00000161,TXN_00000161,processing,gaming
ORD_00000166,TXN_00000166,processing,food_delivery
ORD_00000170,TXN_00000170,completed,books
ORD_00000183,TXN_00000183,processing,electronics
ORD_00000186,TXN_00000186,shipped,gaming
ORD_00000187,TXN_00000187,completed,food_delivery
ORD_00000189,TXN_00000189,completed,food_delivery
ORD_00000191,TXN_00000191,completed,subscription
ORD_00000197,TXN_00000197,completed,gaming
ORD_00000200,TXN_00000200,completed,clothing
ORD_00000201,TXN_00000201,completed,electronics
ORD_00000202,TXN_00000202,completed,software
ORD_00000205,TXN_00000205,completed,gaming
ORD_00000206,TXN_00000206,completed,software
ORD_00000214,TXN_00000214,completed,gaming
ORD_00000216,TXN_00000216,completed,software
ORD_00000217,TXN_00000217,cancelled,software
ORD_00000219,TXN_00000219,processing,clothing
ORD_00000224,TXN_00000224,completed,clothing
ORD_00000230,TXN_00000230,completed,clothing
ORD_00000232,TXN_00000232,completed,books
ORD_00000233,TXN_00000233,completed,gaming
ORD_00000240,TXN_00000240,processing,home_goods
ORD_00000241,TXN_00000241,completed,home_goods
ORD_00000242,TXN_00000242,cancelled,home_goods
ORD_00000243,TXN_00000243,completed,books
ORD_00000246,TXN_00000246,completed,software
ORD_00000251,TXN_00000251,shipped,food_delivery
ORD_00000252,TXN_00000252,completed,books
ORD_00000258,TXN_00000258,completed,clothing
ORD_00000267,TXN_00000267,shipped,gaming
ORD_00000269,TXN_00000269,shipped,software
ORD_00000270,TXN_00000270,completed,books
ORD_00000273,TXN_00000273,completed,software
ORD_00000276,TXN_00000276,completed,electronics
ORD_00000279,TXN_00000279,completed,gaming
ORD_00000282,TXN_00000282,completed,food_delivery
ORD_00000288,TXN_00000288,completed,software
ORD_00000293,TXN_00000293,completed,food_delivery
ORD_00000295,TXN_00000295,completed,electronics
ORD_00000308,TXN_00000308,completed,subscription
ORD_00000313,TXN_00000313,completed,books
ORD_00000315,TXN_00000315,completed,software
ORD_00000317,TXN_00000317,completed,software
ORD_00000325,TXN_00000325,completed,food_delivery
ORD_00000330,TXN_00000330,completed,electronics
ORD_00000337,TXN_00000337,refunded,electronics
ORD_00000339,TXN_00000339,completed,software
ORD_00000343,TXN_00000343,cancelled,software
ORD_00000345,TXN_00000345,cancelled,software
ORD_00000347,TXN_00000347,completed,gaming
ORD_00000348,TXN_00000348,completed,subscription
ORD_00000358,TXN_00000358,completed,food_delivery
ORD_00000366,TXN_00000366,completed,books
ORD_00000372,TXN_00000372,completed,software
ORD_00000373,TXN_00000373,completed,food_delivery
ORD_00000376,TXN_00000376,refunded,food_delivery
ORD_00000378,TXN_00000378,processing,food_delivery
ORD_00000379,TXN_00000379,completed,electronics
ORD_00000384,TXN_00000384,cancelled,software
ORD_00000385,TXN_00000385,shipped,software
ORD_00000386,TXN_00000386,completed,electronics
ORD_00000387,TXN_00000387,completed,home_goods
ORD_00000389,TXN_00000389,completed,clothing
ORD_00000391,TXN_00000391,completed,gaming
ORD_00000392,TXN_00000392,completed,electronics
ORD_00000397,TXN_00000397,completed,software
ORD_00000400,TXN_00000400,completed,gaming
ORD_00000401,TXN_00000401,processing,electronics
ORD_00000402,TXN_00000402,refunded,subscription
ORD_00000406,TXN_00000406,completed,software
ORD_00000410,TXN_00000410,completed,subscription
ORD_00000413,TXN_00000413,completed,home_goods
